idx,dataset,uncertainty_score,data_distribution,error_category,rank
2375-0,GFAP_in_HC,0.9338685,fully out-of-distribution,,0
2378-2,GFAP_in_HC,0.9144243,fully out-of-distribution,,1
2365,mScarlet_in_PAG,0.8578588,fully out-of-distribution,,2
2377-2,GFAP_in_HC,0.83504087,fully out-of-distribution,,3
2354,mScarlet_in_PAG,0.8085829,fully out-of-distribution,,4
2355,mScarlet_in_PAG,0.80715865,fully out-of-distribution,,5
2364,mScarlet_in_PAG,0.80192393,fully out-of-distribution,,6
2366,mScarlet_in_PAG,0.7910106,fully out-of-distribution,,7
2347,YFP_in_CTX,0.7869795,fully out-of-distribution,,8
2377-0,GFAP_in_HC,0.7860886,fully out-of-distribution,,9
2376-2,GFAP_in_HC,0.78522176,fully out-of-distribution,,10
2334,YFP_in_CTX,0.7850483,fully out-of-distribution,,11
2359,mScarlet_in_PAG,0.7694551,fully out-of-distribution,,12
2363,mScarlet_in_PAG,0.7682776,fully out-of-distribution,,13
2368,mScarlet_in_PAG,0.7590552,fully out-of-distribution,,14
2340,YFP_in_CTX,0.7554388,fully out-of-distribution,,15
2343,YFP_in_CTX,0.7492699,fully out-of-distribution,,16
2341,YFP_in_CTX,0.74315006,fully out-of-distribution,,17
2342,YFP_in_CTX,0.7223353,fully out-of-distribution,,18
2332,YFP_in_CTX,0.70986223,fully out-of-distribution,,19
2349,YFP_in_CTX,0.699234,fully out-of-distribution,,20
2376-3,GFAP_in_HC,0.6677133,fully out-of-distribution,,21
1283,PV_in_HC,0.6589722,fully out-of-distribution,,22
2378-3,GFAP_in_HC,0.6499044,fully out-of-distribution,,23
1418,PV_in_HC,0.6488487,fully out-of-distribution,,24
1385,PV_in_HC,0.6439915,fully out-of-distribution,,25
1599,PV_in_HC,0.6403144,fully out-of-distribution,,26
2375-1,GFAP_in_HC,0.59882337,fully out-of-distribution,,27
1377,PV_in_HC,0.59165984,fully out-of-distribution,,28
0874,cFOS_in_HC,0.57471097,in-distribution,No error,29
1444,PV_in_HC,0.5604884,fully out-of-distribution,,30
1582,PV_in_HC,0.5108729,fully out-of-distribution,,31
1237,PV_in_HC,0.47965088,fully out-of-distribution,,32
0854,cFOS_in_HC,0.4711399,in-distribution,No error,33
0849,cFOS_in_HC,0.41111657,in-distribution,No error,34
1449,cFOS_in_HC,0.4075262,partly out-of-distribution,Blood vessels,35
1453,cFOS_in_HC,0.3976027,in-distribution,No error,36
1450,cFOS_in_HC,0.3926841,partly out-of-distribution,Blood vessels,37
1466,cFOS_in_HC,0.38930574,partly out-of-distribution,Blood vessels,38
0850,cFOS_in_HC,0.38304463,in-distribution,No error,39
1475,cFOS_in_HC,0.3815519,partly out-of-distribution,Folded tissue,40
1471,cFOS_in_HC,0.34785575,partly out-of-distribution,Blood vessels,41
1454,cFOS_in_HC,0.34042758,partly out-of-distribution,Blood vessels,42
1459,cFOS_in_HC,0.33162263,partly out-of-distribution,Blood vessels,43
1470,cFOS_in_HC,0.32717705,partly out-of-distribution,Blood vessels,44
0862,cFOS_in_HC,0.32071888,in-distribution,No error,45
0846,cFOS_in_HC,0.31889316,in-distribution,No error,46
0142,cFOS_in_HC,0.31847033,in-distribution,No error,47
1474,cFOS_in_HC,0.31781107,in-distribution,No error,48
1433,cFOS_in_HC,0.31380168,in-distribution,No error,49
1593,cFOS_in_HC,0.30454922,in-distribution,No error,50
1426,cFOS_in_HC,0.29960778,in-distribution,No error,51
1438,cFOS_in_HC,0.29783702,in-distribution,No error,52
0038,cFOS_in_HC,0.2960785,partly out-of-distribution,Blood vessels,53
1571,cFOS_in_HC,0.29598817,in-distribution,No error,54
0494,cFOS_in_HC,0.2880956,in-distribution,No error,55
0156,cFOS_in_HC,0.28768206,in-distribution,No error,56
0035,cFOS_in_HC,0.28760538,partly out-of-distribution,Blood vessels,57
1421,cFOS_in_HC,0.2848802,in-distribution,No error,58
0807,cFOS_in_HC,0.2847472,in-distribution,No error,59
0855,cFOS_in_HC,0.28359818,in-distribution,No error,60
1472,cFOS_in_HC,0.28319073,partly out-of-distribution,Folded tissue,61
0153,cFOS_in_HC,0.27584618,in-distribution,No error,62
1458,cFOS_in_HC,0.2707813,partly out-of-distribution,Blood vessels,63
0875,cFOS_in_HC,0.26806232,in-distribution,No error,64
1369,cFOS_in_HC,0.2626517,in-distribution,No error,65
0147,cFOS_in_HC,0.2621831,in-distribution,No error,66
0061,cFOS_in_HC,0.2614034,in-distribution,No error,67
1439,cFOS_in_HC,0.26031017,in-distribution,No error,68
1434,cFOS_in_HC,0.25822198,in-distribution,No error,69
0869,cFOS_in_HC,0.25726533,in-distribution,No error,70
0448,cFOS_in_HC,0.25407034,in-distribution,No error,71
0500,cFOS_in_HC,0.25337037,in-distribution,No error,72
0432,cFOS_in_HC,0.2514679,in-distribution,No error,73
0683,cFOS_in_HC,0.24965586,in-distribution,No error,74
0870,cFOS_in_HC,0.24927562,in-distribution,No error,75
1270,cFOS_in_HC,0.24892567,in-distribution,No error,76
0847,cFOS_in_HC,0.24873741,in-distribution,No error,77
1465,cFOS_in_HC,0.24689488,partly out-of-distribution,Blood vessels,78
0518,cFOS_in_HC,0.24372019,in-distribution,No error,79
1363,cFOS_in_HC,0.24359232,in-distribution,No error,80
0861,cFOS_in_HC,0.24345665,in-distribution,No error,81
1376,cFOS_in_HC,0.23774487,in-distribution,No error,82
1417,cFOS_in_HC,0.23684847,in-distribution,No error,83
1250,cFOS_in_HC,0.23647736,in-distribution,No error,84
0439,cFOS_in_HC,0.23404661,in-distribution,No error,85
1632,cFOS_in_HC,0.23365161,in-distribution,No error,86
0155,cFOS_in_HC,0.23063272,in-distribution,No error,87
0433,cFOS_in_HC,0.22907895,in-distribution,No error,88
0681,cFOS_in_HC,0.22881864,in-distribution,No error,89
1575,cFOS_in_HC,0.22843826,in-distribution,No error,90
0055,cFOS_in_HC,0.22817387,in-distribution,No error,91
1427,cFOS_in_HC,0.22769988,in-distribution,No error,92
0507,cFOS_in_HC,0.22732237,in-distribution,No error,93
1422,cFOS_in_HC,0.22322635,in-distribution,No error,94
0508,cFOS_in_HC,0.22271754,in-distribution,No error,95
1294,cFOS_in_HC,0.21864541,in-distribution,No error,96
0447,cFOS_in_HC,0.21731967,in-distribution,No error,97
0686,cFOS_in_HC,0.21714555,in-distribution,No error,98
1359,cFOS_in_HC,0.21713705,in-distribution,No error,99
0788,cFOS_in_HC,0.21653613,in-distribution,No error,100
1380,cFOS_in_HC,0.21596187,in-distribution,No error,101
1594,cFOS_in_HC,0.21565507,in-distribution,No error,102
0684,cFOS_in_HC,0.2155573,in-distribution,No error,103
1267,cFOS_in_HC,0.21546973,in-distribution,No error,104
0806,cFOS_in_HC,0.21546899,in-distribution,No error,105
0107,cFOS_in_HC,0.21503182,in-distribution,No error,106
1589,cFOS_in_HC,0.214927,in-distribution,No error,107
1603,cFOS_in_HC,0.21422285,in-distribution,No error,108
0800,cFOS_in_HC,0.21317665,in-distribution,No error,109
0793,cFOS_in_HC,0.2129911,in-distribution,No error,110
0699,cFOS_in_HC,0.2126669,in-distribution,No error,111
0157,cFOS_in_HC,0.2120208,in-distribution,No error,112
0495,cFOS_in_HC,0.21084157,in-distribution,No error,113
0000,cFOS_in_HC,0.21072659,in-distribution,No error,114
0697,cFOS_in_HC,0.20981975,partly out-of-distribution,Fluorescent particles,115
0702,cFOS_in_HC,0.20880069,in-distribution,No error,116
0680,cFOS_in_HC,0.20720135,in-distribution,No error,117
0512,cFOS_in_HC,0.20639272,in-distribution,No error,118
0675,cFOS_in_HC,0.20600271,in-distribution,No error,119
1288,cFOS_in_HC,0.20386809,in-distribution,No error,120
0052,cFOS_in_HC,0.20379645,in-distribution,No error,121
0812,cFOS_in_HC,0.20355459,in-distribution,No error,122
1266,cFOS_in_HC,0.20302719,in-distribution,No error,123
0003,cFOS_in_HC,0.20298393,in-distribution,No error,124
0661,cFOS_in_HC,0.20211013,in-distribution,No error,125
1581,cFOS_in_HC,0.20176812,in-distribution,No error,126
1280,cFOS_in_HC,0.20149362,in-distribution,No error,127
1382,cFOS_in_HC,0.20141532,in-distribution,No error,128
1274,cFOS_in_HC,0.20132081,in-distribution,No error,129
1606,cFOS_in_HC,0.20129581,in-distribution,No error,130
1600,cFOS_in_HC,0.20020014,in-distribution,No error,131
0032,cFOS_in_HC,0.19965078,in-distribution,No error,132
0648,cFOS_in_HC,0.19958495,in-distribution,No error,133
0801,cFOS_in_HC,0.1994441,in-distribution,No error,134
0009,cFOS_in_HC,0.19899316,in-distribution,No error,135
1232,cFOS_in_HC,0.19857794,in-distribution,No error,136
1243,cFOS_in_HC,0.1985468,in-distribution,No error,137
0042,cFOS_in_HC,0.19745311,partly out-of-distribution,Blood vessels,138
0790,cFOS_in_HC,0.19718432,in-distribution,No error,139
0026,cFOS_in_HC,0.19710541,in-distribution,No error,140
0453,cFOS_in_HC,0.19708171,in-distribution,No error,141
0649,cFOS_in_HC,0.1970312,partly out-of-distribution,Fluorescent particles,142
0033,cFOS_in_HC,0.19695792,in-distribution,No error,143
0691,cFOS_in_HC,0.19685233,in-distribution,No error,144
1625,cFOS_in_HC,0.19672766,in-distribution,No error,145
1262,cFOS_in_HC,0.196107,in-distribution,No error,146
0058,cFOS_in_HC,0.19543041,in-distribution,No error,147
0030,cFOS_in_HC,0.19405109,in-distribution,No error,148
0701,cFOS_in_HC,0.1933049,partly out-of-distribution,Fluorescent particles,149
0438,cFOS_in_HC,0.19313034,in-distribution,No error,150
0696,cFOS_in_HC,0.19291967,in-distribution,No error,151
0154,cFOS_in_HC,0.19216393,in-distribution,No error,152
1618,cFOS_in_HC,0.1916277,in-distribution,No error,153
1281,cFOS_in_HC,0.19101973,in-distribution,No error,154
0441,cFOS_in_HC,0.19037819,in-distribution,No error,155
1604,cFOS_in_HC,0.1893804,in-distribution,No error,156
0690,cFOS_in_HC,0.1891809,in-distribution,No error,157
0012,cFOS_in_HC,0.18906488,in-distribution,No error,158
0070,cFOS_in_HC,0.18869002,in-distribution,No error,159
0668,cFOS_in_HC,0.18795967,in-distribution,No error,160
0017,cFOS_in_HC,0.18662986,in-distribution,No error,161
0010,cFOS_in_HC,0.18637201,in-distribution,No error,162
0789,cFOS_in_HC,0.18546036,in-distribution,No error,163
1626,cFOS_in_HC,0.1847634,in-distribution,No error,164
0871,cFOS_in_HC,0.18336019,in-distribution,No error,165
1588,cFOS_in_HC,0.18295467,in-distribution,No error,166
0434,cFOS_in_HC,0.18295439,in-distribution,No error,167
0066,cFOS_in_HC,0.18274227,in-distribution,No error,168
0020,cFOS_in_HC,0.18265824,in-distribution,No error,169
0655,cFOS_in_HC,0.18202645,in-distribution,No error,170
0501,cFOS_in_HC,0.1818966,in-distribution,No error,171
1461,cFOS_in_HC,0.18133417,in-distribution,No error,172
0811,cFOS_in_HC,0.18092495,partly out-of-distribution,Fluorescent particles,173
0059,cFOS_in_HC,0.18070495,in-distribution,No error,174
0056,cFOS_in_HC,0.18048881,in-distribution,No error,175
1287,cFOS_in_HC,0.18002962,in-distribution,No error,176
1251,cFOS_in_HC,0.17938326,in-distribution,No error,177
1384,cFOS_in_HC,0.17909646,in-distribution,No error,178
0669,cFOS_in_HC,0.17881984,in-distribution,No error,179
0027,cFOS_in_HC,0.17858092,in-distribution,No error,180
0016,cFOS_in_HC,0.17847197,in-distribution,No error,181
1455,cFOS_in_HC,0.17793764,in-distribution,No error,182
0018,cFOS_in_HC,0.17790067,in-distribution,No error,183
0053,cFOS_in_HC,0.17751639,in-distribution,No error,184
0158,cFOS_in_HC,0.17742866,in-distribution,No error,185
0143,cFOS_in_HC,0.17735463,in-distribution,No error,186
0104,cFOS_in_HC,0.1760461,partly out-of-distribution,Fluorescent particles,187
0029,cFOS_in_HC,0.17562442,in-distribution,No error,188
1572,cFOS_in_HC,0.175279,in-distribution,No error,189
1275,cFOS_in_HC,0.17506076,in-distribution,No error,190
1451,cFOS_in_HC,0.17466317,in-distribution,No error,191
0791,cFOS_in_HC,0.1745256,partly out-of-distribution,Fluorescent particles,192
0023,cFOS_in_HC,0.17429157,in-distribution,No error,193
1364,cFOS_in_HC,0.17409682,in-distribution,No error,194
1611,cFOS_in_HC,0.17301184,in-distribution,No error,195
0513,cFOS_in_HC,0.17249618,in-distribution,No error,196
0650,cFOS_in_HC,0.17196117,in-distribution,No error,197
0024,cFOS_in_HC,0.17161843,in-distribution,No error,198
1576,cFOS_in_HC,0.17135319,in-distribution,No error,199
0654,cFOS_in_HC,0.17119999,in-distribution,No error,200
0442,cFOS_in_HC,0.17109604,in-distribution,No error,201
1446,cFOS_in_HC,0.17089148,in-distribution,No error,202
1257,cFOS_in_HC,0.17071702,in-distribution,No error,203
0095,cFOS_in_HC,0.17068103,in-distribution,No error,204
0080,cFOS_in_HC,0.17052333,in-distribution,No error,205
1268,cFOS_in_HC,0.17020418,in-distribution,No error,206
0065,cFOS_in_HC,0.16990101,in-distribution,No error,207
0013,cFOS_in_HC,0.16881913,in-distribution,No error,208
0109,cFOS_in_HC,0.16817391,in-distribution,No error,209
0687,cFOS_in_HC,0.16794835,in-distribution,No error,210
0097,cFOS_in_HC,0.16780992,in-distribution,No error,211
0108,cFOS_in_HC,0.16764387,partly out-of-distribution,Blood vessels,212
0014,cFOS_in_HC,0.16755618,in-distribution,No error,213
0676,cFOS_in_HC,0.16719265,in-distribution,No error,214
1612,cFOS_in_HC,0.16419566,in-distribution,No error,215
1445,cFOS_in_HC,0.16343738,in-distribution,No error,216
1271,cFOS_in_HC,0.16279568,in-distribution,No error,217
0075,cFOS_in_HC,0.16252805,in-distribution,No error,218
1366,cFOS_in_HC,0.16235258,in-distribution,No error,219
1468,cFOS_in_HC,0.16235068,in-distribution,No error,220
0662,cFOS_in_HC,0.16206983,in-distribution,No error,221
0025,cFOS_in_HC,0.16062258,in-distribution,No error,222
1601,cFOS_in_HC,0.15929909,in-distribution,No error,223
0090,cFOS_in_HC,0.1589711,in-distribution,No error,224
1276,cFOS_in_HC,0.15708978,in-distribution,No error,225
1381,cFOS_in_HC,0.15697953,in-distribution,No error,226
0519,cFOS_in_HC,0.15682137,in-distribution,No error,227
1360,cFOS_in_HC,0.15642726,in-distribution,No error,228
0809,cFOS_in_HC,0.1563105,in-distribution,No error,229
1295,cFOS_in_HC,0.15630405,in-distribution,No error,230
0146,cFOS_in_HC,0.1561597,in-distribution,No error,231
1419,cFOS_in_HC,0.15565324,in-distribution,No error,232
1607,cFOS_in_HC,0.15489276,in-distribution,No error,233
0054,cFOS_in_HC,0.15429129,in-distribution,No error,234
0682,cFOS_in_HC,0.15351915,partly out-of-distribution,Fluorescent particles,235
0021,cFOS_in_HC,0.15280627,in-distribution,No error,236
0449,cFOS_in_HC,0.15213852,in-distribution,No error,237
0105,cFOS_in_HC,0.15193455,in-distribution,No error,238
1370,cFOS_in_HC,0.15112227,in-distribution,No error,239
1233,cFOS_in_HC,0.1505875,in-distribution,No error,240
1608,cFOS_in_HC,0.1505702,in-distribution,No error,241
1608,cFOS_in_HC,0.1505702,in-distribution,No error,242
0002,cFOS_in_HC,0.15027994,in-distribution,No error,243
0079,cFOS_in_HC,0.14985532,in-distribution,No error,244
0102,cFOS_in_HC,0.14813349,in-distribution,No error,245
1263,cFOS_in_HC,0.14791436,in-distribution,No error,246
0664,cFOS_in_HC,0.14780037,in-distribution,No error,247
0685,cFOS_in_HC,0.14776145,in-distribution,No error,248
0034,cFOS_in_HC,0.14775485,in-distribution,No error,249
0520,cFOS_in_HC,0.14747526,in-distribution,No error,250
0028,cFOS_in_HC,0.14746809,in-distribution,No error,251
1591,cFOS_in_HC,0.1473898,in-distribution,No error,252
1633,cFOS_in_HC,0.14736168,in-distribution,No error,253
0796,cFOS_in_HC,0.14728647,in-distribution,No error,254
0503,cFOS_in_HC,0.14585349,in-distribution,No error,255
0443,cFOS_in_HC,0.1454028,in-distribution,No error,256
1238,cFOS_in_HC,0.14534792,in-distribution,No error,257
0073,cFOS_in_HC,0.1451579,in-distribution,No error,258
1628,cFOS_in_HC,0.14423205,in-distribution,No error,259
0792,cFOS_in_HC,0.14335907,in-distribution,No error,260
0851,cFOS_in_HC,0.14307974,in-distribution,No error,261
0794,cFOS_in_HC,0.14216866,in-distribution,No error,262
1290,cFOS_in_HC,0.14195867,in-distribution,No error,263
1595,cFOS_in_HC,0.14163639,in-distribution,No error,264
1378,cFOS_in_HC,0.14142574,in-distribution,No error,265
0103,cFOS_in_HC,0.141357,in-distribution,No error,266
0060,cFOS_in_HC,0.14110744,in-distribution,No error,267
1244,cFOS_in_HC,0.14049055,in-distribution,No error,268
1372,cFOS_in_HC,0.13965622,in-distribution,No error,269
1605,cFOS_in_HC,0.13933226,in-distribution,No error,270
1436,cFOS_in_HC,0.13826747,in-distribution,No error,271
0877,cFOS_in_HC,0.1382636,in-distribution,No error,272
0813,cFOS_in_HC,0.13763021,in-distribution,No error,273
0019,cFOS_in_HC,0.13701613,partly out-of-distribution,Folded tissue,274
1234,cFOS_in_HC,0.13634893,in-distribution,No error,275
0454,cFOS_in_HC,0.13607168,in-distribution,No error,276
0071,cFOS_in_HC,0.13590619,in-distribution,No error,277
1573,cFOS_in_HC,0.13570821,in-distribution,No error,278
0692,cFOS_in_HC,0.13510533,in-distribution,No error,279
0510,cFOS_in_HC,0.1345088,in-distribution,No error,280
1621,cFOS_in_HC,0.1334837,in-distribution,No error,281
0802,cFOS_in_HC,0.13329166,in-distribution,No error,282
0005,cFOS_in_HC,0.13254616,in-distribution,No error,283
0688,cFOS_in_HC,0.13235635,in-distribution,No error,284
0496,cFOS_in_HC,0.13192165,in-distribution,No error,285
1297,cFOS_in_HC,0.1316742,partly out-of-distribution,Folded tissue,286
1423,cFOS_in_HC,0.13114405,in-distribution,No error,287
1272,cFOS_in_HC,0.13038175,in-distribution,No error,288
0857,cFOS_in_HC,0.12994377,in-distribution,No error,289
1578,cFOS_in_HC,0.12915277,in-distribution,No error,290
0057,cFOS_in_HC,0.1288783,in-distribution,No error,291
0456,cFOS_in_HC,0.12878558,in-distribution,No error,292
1246,cFOS_in_HC,0.12704714,in-distribution,No error,293
0864,cFOS_in_HC,0.12676312,in-distribution,No error,294
1614,cFOS_in_HC,0.12571782,in-distribution,No error,295
1635,cFOS_in_HC,0.12567367,in-distribution,No error,296
1253,cFOS_in_HC,0.1237008,in-distribution,No error,297
1240,cFOS_in_HC,0.12351349,in-distribution,No error,298
1440,cFOS_in_HC,0.12328113,in-distribution,No error,299
0081,cFOS_in_HC,0.1228981,in-distribution,No error,300
1258,cFOS_in_HC,0.122759975,in-distribution,No error,301
0514,cFOS_in_HC,0.1224091,in-distribution,No error,302
0678,cFOS_in_HC,0.12182923,in-distribution,No error,303
0703,cFOS_in_HC,0.12148435,in-distribution,No error,304
1584,cFOS_in_HC,0.12026295,in-distribution,No error,305
0022,cFOS_in_HC,0.12021674,in-distribution,No error,306
1429,cFOS_in_HC,0.119578004,in-distribution,No error,307
1260,cFOS_in_HC,0.11887226,in-distribution,No error,308
0848,cFOS_in_HC,0.116424054,in-distribution,No error,309
0671,cFOS_in_HC,0.11540174,in-distribution,No error,310
1264,cFOS_in_HC,0.11463871,in-distribution,No error,311
0031,cFOS_in_HC,0.104762346,in-distribution,No error,312
